form,sigma,sigma_err,center,center_err,amplitude,amplitude_er,height,height_err,fwhm,fwhm_err,redchi,chisqr,maxPoint
tnt,8.320561670850212,,97.95075385224212,,1.2017089582652524e+29,,1.7970806462950135,,5.335371661230243e+16,,2.9144543610072017e-05,0.001661238985774105,59
claquer,1.946934495539877,0.7228522027188324,13.881484483632685,7.601735079085797,3914907.966366711,41550746.37047591,4.997312386760086,20.236454927556046,236336.35007197727,1336772.4442234219,2.079350899344193e-06,0.00011852300126261899,59
passionné,8.274325566028304,,105.61008574251187,,1.466150529607791e+34,,70.85131566851145,,2.3075680033801444e+20,,9.105253645950168e-05,0.005189994578191596,59
façons,5.05242075187098,,65.77771203896258,,6.669542302759607e+33,,4985596916.219754,,1.1593027527928429e+20,,5.210126628627364e-05,0.0029697721783175975,59
cuisiner,4.207290650954609,,55.464819733187326,,6.505785417504399e+33,,3515033138176.15,,3.563167200355495e+18,,6.31206635607348e-05,0.0035978778229618833,59
imac,5.730449763591689,,75.86825472033802,,3.371028200632506e+35,,356461226.10617673,,4.1495540914413665e+21,,4.963903922647375e-05,0.0028294252359090037,59
amuse,0.1715007041747209,0.020513459486386096,4.062345480026493,0.03224004299166011,1.3845598816609856,0.2206614192049379,0.05624559529157051,0.0024513306692669954,22.943069506506596,3.312061313435462,4.1434759894696074e-05,0.0023617813139976762,56
jouet,5.926920435909145,,64.89814607947417,,1.7844358827928145e+24,,333.2017360465035,,9110234816683324.0,,3.280342420109089e-05,0.0018697951794621806,59
plombs,4.560232747562271,,57.8811908153259,,4.4650944722362495e+31,,9332666405.986254,,2.740604395525114e+18,,2.499105377812871e-05,0.0014244900653533365,59
vitres,2.2892522983145187,1.880758471839139,9.419758115694853,10.609388033376128,97.45365129073375,708.6887480643186,0.018926220892366587,0.003502471717823076,962.853989640856,4116.354027955068,0.00012711942940092858,0.007245807475852929,59
hd,6.672299058624885,,85.34912877697734,,4.537666563757341e+33,,108171.8605461053,,1.3927757956645375e+21,,4.190257385240616e-05,0.002388446709587151,59
restant,7.87840283066742,,103.62150471698287,,1.381109487545835e+36,,2092.254840619233,,1.1870983336009637e+22,,7.742666888600632e-05,0.00441332012650236,59
confessions,2.4627947930038734,2.039350154375794,13.619203574792666,17.069357506849357,17945.78840630154,274998.1978443018,0.07341337976429192,0.1804458821630715,34562.715816710326,326555.2037264886,2.824563613117092e-05,0.0016100012594767424,59
intimes,4.676280169571815,,53.66587784022168,,6.541205468373479e+25,,1542982.1704157852,,1.5885199946699828e+16,,3.6432249333664785e-05,0.002076638212018893,59
écoutant,6.802431054417344,,70.68144923608914,,1.5531940334261525e+22,,2.0463379354421467,,119894268736514.12,,3.778360373086927e-05,0.0021536654126595484,59
jordan,0.11365478359849654,0.011158175469075975,3.8574641928824507,0.01092859784619395,0.71510317017856,0.05989299418861973,0.05336058922662742,0.004395505045334651,12.546029368711075,1.235891169515337,0.00011918186015867861,0.006793366029044681,47
m2,0.06292142437510717,0.0016008389767566322,3.0650165486796417,0.0016040563697406695,0.7558854245689218,0.016677062711192438,0.22403064353686095,0.004936167994656131,3.166312845685674,0.08054381669880555,3.871808402890068e-05,0.0022069307896473386,21
pot,5.485400657435899,,66.2556274678364,,2.1172133804309845e+29,,884893.4540651808,,3.2479975802451036e+18,,2.7247229901360622e-05,0.0015530921043775555,59
cd,5.056399597918713,,64.00456631766583,,8.51450554054305e+31,,382155454.959189,,1.8997484405935542e+19,,2.7463604643158544e-05,0.001565425464660037,59
prez,8.839743416591306,,118.66793226802251,,9.490503714075201e+37,,115.6239730196367,,1.3204849364524352e+22,,6.0053471412525324e-05,0.0034230478705139433,59
crèmes,8.628288149411437,,101.59348874519681,,1.488438515849499e+29,,0.7625403015459388,,1.5901109772152226e+16,,6.312764369096017e-05,0.00359827569038473,59
bave,0.5189067116050343,0.0784957514087915,4.439588151742693,0.21281181863405813,3.707157473475756,1.4964718081135295,0.038480716412206975,0.003522797995936675,84.11745648297017,25.22252072558559,1.9981713478323786e-05,0.0011389576682644558,59
escargot,0.014782265774093216,0.00312604834035495,4.073184135124046,0.002776001409215244,0.3395256868064671,0.05686967518848579,0.1560011328996092,0.013013985092505108,2.04450016668374,0.43700804406547483,0.00012021711770953806,0.00685237570944367,59
paperasse,5.902511522160228,,76.2395861357893,,7.882553735972375e+33,,15185909.08398696,,9.953430954698615e+20,,3.070304623986299e-05,0.0017500736356721904,59
colloc,5.355276064376084,9.945827695096808,38.748573496946534,133.39540282197598,20385672148.667892,1728389647869.9255,0.03808231502673411,0.10702943022907135,12928492.397638168,499263584.0520349,3.3509823315522977e-05,0.0019100599289848098,59
imprime,1.3991172741349296,0.3291203751296005,4.778235202464229,0.9090775138720111,3.133183826919265,1.9638957858779813,0.01999644048721663,0.001965756282494051,83.9528640654289,36.3927423343669,7.695482202326403e-05,0.0043864248553260494,17
émue,2.2529027004422972,0.6985256809284546,10.940101004132979,4.788867806836293,832.6172326249635,3274.948496608817,0.03307757593274946,0.013669751694797127,4974.8100752482915,12325.975968533836,8.338041445621898e-06,0.0004752683624004482,59
actualités,0.8190829048194899,0.09382868132249496,4.125497413495851,0.19063343597073842,2.0570616352038877,0.4116215788432172,0.022637691486495554,0.0010808053737107665,70.94924492370266,13.145289394130158,2.6300497760354814e-05,0.0014991283723402244,32
little,5.22580074877093,9.45308544792924,40.22418642781728,134.82748414855598,418895433162.2546,39055619277962.03,0.09242580127894261,0.5555067592178102,191060103.3805325,9014336649.05893,2.4314766488795382e-05,0.0013859416898613368,59
sunshine,0.5618193144007485,0.0297987631140492,2.7113637565436868,0.034136740586611106,0.889681445186073,0.045050686045870404,0.0491539219323021,0.002261256562724301,15.60366127526921,0.827032969071393,3.9904055922841705e-05,0.002274531187601977,11
installe,7.25538797928652,,83.78751203979863,,4.2811684672302857e+27,,25.949592834682264,,1.7254315876935955e+17,,2.2264154929791204e-05,0.0012690568309980986,59
vista,2.973224649143604,2.5105948777866747,12.330868760588935,16.23806822906952,350.82604171581613,3369.5689160303978,0.017264006430802104,0.001511499865074556,1086.3703174894895,4718.847776181981,9.656020323515724e-05,0.005503931584403963,33
laptop,9.150510904165737,,107.3952939423846,,1.340587146645788e+29,,0.20310302786698062,,903545319279118.9,,5.841012060108839e-05,0.0033293768742620384,59
labo,3.7476342797400486,,47.09946783400599,,1.0250576394985798e+30,,429184113346.3009,,1.869551928024643e+16,,3.2775372633650015e-05,0.001868196240118051,59
inventeur,1.30706256255588,0.4996415338280458,5.4619775400987,1.7263797834478312,6.656936051020871,9.738849330040308,0.02026555207313529,0.0016334775525479793,189.68470457307342,204.37404098659465,9.056963673414077e-05,0.005162469293846024,43
george,2.0419836494707835,0.9354804487345225,7.986917153210733,4.603065503648474,34.88496734271345,111.0254465572559,0.01863203653723902,0.0014012024979316114,499.3355975721842,963.2985950264517,6.109000816794986e-05,0.0034821304655731425,45
cuit,2.154309307400824,0.7763370241262677,8.506926911885333,4.011605785718602,49.127682749834335,134.1313460021781,0.01871577299634622,0.0011119190712313269,599.5026878765681,967.4986279667078,3.376536432047898e-05,0.001924625766267302,48
reveille,1.0238513062725754,0.1348846240603149,5.698620247822512,0.5645374573262913,16.543714908805452,11.511393741711972,0.03648011089745917,0.005170910253431829,317.929930895963,152.28617469341998,5.199486561706888e-06,0.0002963707340172926,59
bond,0.028606483347612198,0.002068710208796092,3.734927138965043,0.0020694066598007004,0.4787761616131734,0.029992379810457298,0.15947681869306748,0.009987231286168003,2.8197276145153225,0.20390254157322196,0.0001411443220561778,0.008045226357202133,42
matt,7.896986183472329,,75.17251255201086,,8.926992804897524e+18,,0.03539709143522643,,3994213164.7192116,,1.9468941758818377e-05,0.0011097296802526475,59
crane,5.782490612191131,,71.15371250649582,,4.5060694898243593e+30,,710760.8976743545,,2.1722407565905945e+19,,1.9401042415866937e-05,0.0011058594177044154,59
crevé,3.3033360111346686,,38.60328986990434,,1.229651079621642e+25,,5971183027.016105,,51893952493519.64,,1.7995693625744365e-05,0.0010257545366674288,59
cafés,6.470345556784593,,80.784526507132,,9.188933033296667e+31,,57533.86254078824,,1.625316375213188e+20,,7.506158376891993e-05,0.004278510274828436,59
mettant,2.32151490544287,,28.438514541075254,,1.6370197829633537e+25,,18569608576639.324,,156797987515.40112,,4.528320077809081e-05,0.002581142444351176,59
sympas,2.1301853491556804,,24.598903394059157,,2.908145538759882e+21,,109216331868.20685,,6292747569.331153,,1.8801810998871173e-05,0.001071703226935657,59
cops,1.7347092301913654,0.5899109818614069,6.128988762697932,2.213349740531904,8.231205806966909,12.187975700117029,0.018569654104399265,0.0016896969070998584,171.61767734461654,157.53959216975113,7.67200244509736e-05,0.0043730413937054955,23
naze,3.724009147714645,,41.103389594898665,,6.81850069571096e+22,,10569729.607695367,,53982213238749.484,,9.949569958263575e-06,0.0005671254876210238,59
améliorer,2.79591619700568,,35.86842015964737,,2.7206608537391656e+29,,511770631162741.7,,40886829065563.37,,6.572204970631078e-05,0.0037461568332597148,59
productivité,7.462449032170221,,87.32209423322571,,2.8088984076036334e+28,,22.16094151590157,,3.5835873588260384e+17,,0.0001307761609047073,0.007454241171568316,59
bazar,1.9863574324963789,0.5369167660068217,5.836216108696504,1.8314304140187383,5.141572533330317,5.142699571447661,0.02168162243645603,0.0023556016225410553,68.0342847869392,29.831151202407064,7.542953883719971e-05,0.004299483713720384,7
bouffé,3.995462172572401,,48.72612203178871,,3.297747430116404e+28,,6645869715.568697,,1.868727575746846e+16,,1.4531805801585565e-05,0.0008283129306903772,59
laver,4.097351653310232,,44.24153324278867,,1.708452799923478e+22,,449455.8438339332,,104211234026176.62,,1.0268253846560324e-05,0.0005852904692539385,59
linge,5.421386168368099,,70.63719312427371,,1.4624159810645395e+34,,545500245.8147645,,4.841646424508381e+20,,4.870782389900707e-05,0.002776345962243403,59
-être,2.462625309800164,,30.326457804165706,,9.884897430214598e+25,,22426688040514.84,,623378081292.2429,,3.124582508178502e-05,0.0017810120296617464,59
tri,5.389011488450742,,69.9945267031652,,8.445047181806424e+33,,505866526.16570425,,3.4779849101234235e+20,,5.8486546933479486e-05,0.0033337331752083307,59
salop,5.767114505362457,,70.64669647082526,,2.2950630623273373e+30,,551452.5612715809,,1.5345345966211613e+19,,1.8137304314988423e-05,0.00103382634595434,59
alain,0.34214687982135905,0.0941889911344104,3.831182271526805,0.11089832325777638,1.2056764421695845,0.32194161719842324,0.032321177034132946,0.00522659599513,33.95274646464398,10.800363008383,0.0003838978269469028,0.021882176135973458,41
matter,1.3346552404677332,0.8456993221734604,7.928053172087959,5.466514305838029,483.403577483756,3490.0415126195844,0.1269247938183334,0.28631665984750304,2151.8158810940304,9245.148737226305,3.30553782211149e-05,0.001884156558603549,59
premiere,1.7971508776770881,1.017642474784672,8.508667283704694,5.887646267513802,140.1420804875704,736.7873465388251,0.031547025452323255,0.020326622270157135,1604.02145408303,5569.28875238127,4.3770504941409394e-05,0.0024949187816603355,59
twiter,3.436986999245292,,37.222970506628684,,3.5105826708433467e+21,,10221506.521752737,,6205941429881.96,,2.5302381517125112e-05,0.0014422357464761314,59
réparé,4.3766636031021475,,55.624258716933014,,3.3699646471878907e+31,,30873014873.369324,,1.1920051818973896e+18,,2.5335329148717854e-05,0.0014441137614769177,59
jacques,6.2194446219795125,,67.57787404448526,,1.0703541735560029e+24,,77.19111351038865,,5367929360029047.0,,2.1419142845748447e-05,0.0012208911422076614,59
malcolm,8.562832273747924,,102.42006646699153,,1.241482673392317e+30,,1.5975503502824753,,1.0366432783941731e+17,,4.259729742125109e-05,0.0024280459530113124,59
installer,3.4078018825524787,,43.23020054479049,,1.0894704642615113e+30,,7124743479504.926,,2975354698734991.0,,6.037447822132492e-05,0.0034413452586155207,59
aimerait,7.910472929058625,,98.26817779295683,,1.7512279914195705e+32,,71.91805262380372,,3.5160885560016368e+19,,3.5974499559949124e-05,0.0020505464749171,59
else,4.3672031611290985,,49.08258419113614,,2.772815301423768e+24,,1693811.030706378,,1846512899157441.8,,2.807412238394681e-05,0.0016002249758849682,59
ptet,4.359307116078772,,56.827650065773106,,1.6341481081627295e+33,,418234134639.1935,,4.5277128888088837e+18,,3.8516652956043166e-05,0.0021954492184944603,59
lessive,0.0672015514587348,0.007693505596558856,4.007105289517709,0.007091048703487555,0.6225891072653219,0.0584139156191141,0.06736731154575228,0.005151719584733392,8.671465590754899,1.0145197821396617,0.00010474945827603459,0.005970719121733971,55
retournement,7.889770072611203,,109.50939356550818,,1.8172302670249723e+40,,83370.85261184516,,3.6268840284498304e+24,,0.00014391908984471237,0.008203388121148606,59
caleçon,1.5774385938548614,0.3528650917117361,4.632735312525633,0.9424629080452233,2.684012469696561,1.507009737366783,0.022914002086857052,0.0025974212913224717,53.359257073053186,17.690080192494,9.696070486805537e-05,0.005526760177479156,9
recommandé,8.683640206496676,,108.98646509953795,,1.436748799166404e+33,,7.269227426737946,,1.0575406876281565e+19,,4.801428615394898e-05,0.0027368143107750916,59
poursuit,4.135801362489928,4.70816927275546,30.40978671993678,61.98524031369305,9981772490.831121,501005705513.12463,0.30976126473885174,2.028165377010163,78170965.24276969,2235203930.085071,1.157538298860841e-05,0.0006597968303506793,59
click,4.545793229898732,,54.954711853711075,,4.07732914221638e+28,,149392880.11990735,,1.6466933544906298e+17,,1.2853704397020917e-05,0.0007326611506301922,59
documents,3.3773317041535456,,43.12143590891157,,2.5393641823204067e+30,,16846951463891.105,,3165916563869064.5,,3.549859053133591e-05,0.002023419660286147,59
word,5.607906611479351,,71.91911490489713,,1.621609553442248e+33,,45390102.05728285,,2.777635680991728e+20,,2.5939933760642657e-05,0.0014785762243566315,59
geek,4.452564563916264,,50.874321308008795,,2.402320687616368e+25,,3495503.786603277,,5770045161158569.0,,6.460322258967276e-05,0.0036823836876113476,59
filtres,0.5870261558903558,0.0591209720491273,3.818460667836788,0.08742722098898638,1.365974944631639,0.16438533476610515,0.024220763282612825,0.0013324833026441732,48.232259697349534,6.2818687450943465,3.210124854651912e-05,0.0018297711671515897,32
rédaction,5.148444694434805,,62.214333875602,,1.278804370418461e+29,,5401393.650459912,,1.3814647980857065e+18,,1.965616807094269e-05,0.0011204015800437333,59
snt,2.665979552606881,5.587412624522859,22.113893308927732,77.58497732625545,138885219945.54874,14266014065492.047,180.77149343176316,6858.304022548911,75793135.03747232,4123070228.838841,2.3450892475265847e-05,0.0013367008710901533,59
compatible,4.480163929881789,,52.960341569179114,,1.7680780304966387e+27,,35915707.35864574,,3.751196898021858e+16,,3.2651598811897816e-05,0.0018611411322781756,59
autoriser,5.4601285670656745,,68.96943389423689,,1.2697912227638658e+32,,30775598.93802817,,6.2721591120303145e+19,,5.236016667546965e-05,0.00298452950050177,59
tarte,3.1706788212317947,3.1778382918739654,16.818552924590186,27.622997652080794,32915.468307703704,654860.115683753,0.03133131881282645,0.042553797899859684,36241.69749868328,407368.5031543832,4.422044475640776e-05,0.0025205653511152426,59
profile,4.857648757332282,,61.78919617277829,,1.161742065967838e+32,,1857189440.0720215,,1.1767560240351961e+19,,4.417014395332731e-05,0.002517698205339657,59
notion,9.613458648323538,,122.3250491743817,,2.121866075415767e+34,,0.7728509356677907,,8.016468384881102e+17,,0.00012254145208433326,0.006984862768806995,59
morceau,0.31995751718052823,0.06646188573272561,3.7957685748624908,0.07302829640935604,1.0357917070938676,0.19687058223089188,0.030537874399315,0.004054057697353103,30.995290308018035,7.168201204906887,0.0002170107164676162,0.012369610838654123,40
trouble,1.9155907294848877,0.1346101220807229,6.202126373838834,0.4979062195673632,7.36265766631388,2.1939079928752787,0.01944965256494162,0.0004583166869761726,118.75048788100153,18.641214944227116,3.963281295076336e-06,0.00022590703381935115,13
huitième,10.718110339611654,,125.41773330585511,,1.8934079082765374e+29,,0.021145756106263364,,11429397372.40926,,0.00013477136989175126,0.007681968083829822,59
mug,3.7210710447669944,1.4900267191733048,16.994400390882422,11.522765541927647,3785.751820303095,24097.567833131117,0.017160143398112195,0.0005817968861293473,1861.4303950288322,4146.197036583453,1.181588604856105e-05,0.0006735055047679798,23
concentration,3.5495665526819873,,38.75316413217989,,1.173725735938641e+22,,10615633.354350464,,14906258183958.514,,0.00017073773454106197,0.009732050868840532,59
marc,1.0145667541512766,0.280105909971364,4.535861375082149,0.71557491077197,2.9529270577734574,1.9579576426637135,0.02082102811805451,0.0018357009376272022,99.97148537182841,54.96455082001932,9.333617777459309e-05,0.005320162133151806,33
habitent,5.861710417957811,,80.92504587322264,,5.877457624234163e+38,,8277083340.492568,,1.6612582434635407e+23,,8.291324620237771e-05,0.004726055033535529,59
essonne,1.2521053150961867,0.4775117749336944,4.911505895462426,1.3880219227772892,3.8148204897202365,4.222639506668108,0.019594755101281953,0.0023260391735508913,117.2298424872078,97.9890138265633,0.0001478645448934509,0.008428279058926702,28
déchirer,4.0620164957979465,,51.156810905281716,,3.6438770822394973e+30,,83087580945.14624,,1.3437646627432915e+17,,2.2425290907440796e-05,0.0012782415817241253,59
house,9.144762674391108,,115.90984019147966,,8.777298609184009e+33,,2.531618658928446,,4.971687762788305e+18,,0.00019536185153977323,0.011135625537767074,59
music,0.8302214588554748,0.1842298261880925,4.077770169835174,0.36431159735212365,1.9381164224414253,0.7234402827365536,0.02227488459360842,0.0021952194136370816,67.58415149474814,23.514097024431024,0.00010388542379433705,0.005921469156277212,30
représentant,2.6292547578324346,,33.70814396049287,,8.0624205581795e+28,,890054475989148.0,,9562069269638.14,,4.4379549924909846e-05,0.0025296343457198614,59
éponge,2.588892827173773,2.2927906315906994,11.605070929200314,15.26259878343671,534.1930071846157,5690.432655033293,0.02142279962113752,0.009801185839404125,2831.720267185076,17378.117150187085,8.891242871619204e-05,0.0050680084368229465,59
reviennent,6.2961750176033044,,83.33844612323595,,7.171815004348582e+35,,11807198.865989918,,1.572919474412651e+22,,4.525609328969142e-05,0.0025795973175124108,59
dun,4.95330375030761,,51.89025845326797,,3.952181462539829e+21,,1972.21371693388,,258806370543540.25,,2.2232833264945985e-05,0.0012672714961019212,59
renvoyer,4.189916345343355,,50.29385628248607,,6.711081407950158e+27,,596018055.3846886,,2.2939917599762864e+16,,1.839116517858421e-05,0.0010482964151793,59
macbook,5.76189158561378,,71.7921357391873,,2.6703783330322255e+31,,1982194.7961661066,,5.092311987399134e+19,,6.667116462026135e-05,0.003800256383354897,59
réparer,2.670104627381241,,32.96336382488148,,5.894171742138083e+26,,15036260773724.799,,3837538017262.677,,4.743674006723249e-05,0.002703894183832252,59
fichiers,1.958110757645039,,25.77085411521775,,7.189192295981817e+27,,6.4002750318428136e+16,,33411432538.612698,,0.00042725725617166906,0.024353663601785137,59
taffe,4.125683851209169,,51.93126601759128,,4.176055526583633e+30,,56084045664.407845,,1.8656571577859123e+17,,3.560957644623477e-05,0.002029745857435382,59
motivé,4.24854721564728,,51.77515069059641,,6.041454651660116e+28,,1540600062.1984487,,6.5921044518737976e+16,,1.5009749077188192e-05,0.000855555697399727,59
bbq,1.8906080683593083,0.4176711013391732,5.517413909869188,1.3507883432763226,4.407512808487146,3.302648669311379,0.022309538104565676,0.002099034243023945,63.89957656756268,22.46508658909847,6.058955856736539e-05,0.003453604838339827,7
jurée,3.7367600292012884,,48.19027743365913,,4.617122026438455e+31,,6253499314017.12,,5.960106229908498e+16,,6.458868243450687e-05,0.0036815548987668913,59
tartes,7.541527576267898,,72.74077090835725,,2.2590287063206953e+19,,0.0686479920865732,,55831432754.220795,,1.5002642590665218e-05,0.0008551506276679175,59
agneau,9.019240403560287,,100.05430368851324,,1.0143981686487018e+26,,0.07296716788649094,,5451709130295.894,,2.3113346544276074e-05,0.0013174607530237361,59
deuil,1.3459603717301987,0.3655154769132627,5.018274144074786,1.089864952798364,4.014184361318237,3.284347222814462,0.01947387166470872,0.0017379021693328229,115.40857123973936,68.38321451836694,7.649111734849692e-05,0.0043599936888643245,25
