,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,nb_users_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,nb_users_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,nb_users_fix,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,nb_users,type
remember_inProgress,0.1045454545454545,1.6260610632702844e-07,0.2962962962962962,6.0915,41.0,0.069458631256384,2.46809881124078e-07,0.6376811594202898,6.0339,5606.0,0.0665462767890172,2.6927111183750577e-07,0.7246376811594202,5.5418,6790.0,,,,,,inProgress
remember_original,0.10727539472779629,1.4338314363667385e-07,0.2608695652173913,6.034800000000001,334.0,0.08812030631219656,2.0484534286184218e-07,0.5652173913043479,6.2090499999999995,11762.0,0.081267217630854,2.703044331745332e-07,0.7727272727272728,5.6882,13045.0,,,,,,original
mek_inProgress,0.0896146260938358,1.553601335768441e-07,0.3478260869565218,7.9990000000000006,1072.0,0.1251308094798399,1.45379452818464e-07,0.7073170731707318,4.9139,402.0,0.10118958431439695,1.6214629743724547e-07,0.5609756097560977,4.92625,3018.0,,,,,,inProgress
mek_original,0.077127659574468,1.424674884299104e-07,0.2608695652173913,8.3685,2468.0,0.0751412429378531,1.933029938759518e-07,0.5507246376811595,6.8413,385.0,0.07198015163131435,2.1986036970000915e-07,0.5942028985507247,6.1370000000000005,2318.0,,,,,,original
reseaux_inProgress,0.08610361893848864,1.635620647634766e-07,0.3181818181818182,8.217600000000001,796.0,0.0804597701149425,2.295830083294679e-07,0.7681159420289856,8.0341,2672.0,0.0769230769230769,2.61384554795814e-07,0.7391304347826088,6.5467,3775.0,,,,,,inProgress
reseaux_original,0.0883121732636295,1.685442950662742e-07,0.4492753623188405,8.1556,1515.0,0.09251106894370645,2.101250919731808e-07,0.6811594202898551,7.4395500000000006,3701.0,0.0907235912729555,2.7054957818173844e-07,0.9420289855072462,6.5931,2895.0,,,,,,original
daronnes_inProgress,0.0739907511561054,1.684809132822811e-07,0.4390243902439025,8.0371,662.0,0.0775356001162452,1.881615807651259e-07,0.5652173913043479,6.6524,1856.0,0.0789012273524254,2.199310186387115e-07,0.6956521739130433,5.5851,6838.0,,,,,,inProgress
daronnes_original,0.06903695825851511,1.7363946420517772e-07,0.4927536231884059,7.9535,1527.0,0.076056338028169,1.851768667333709e-07,0.5507246376811595,6.7137,2968.0,0.07525030264188559,2.3269267417461083e-07,0.753623188405797,5.6160499999999995,6646.0,,,,,,original
hin_inProgress,0.090884790163058,1.68843976070588e-07,0.5942028985507247,7.5281,509.0,0.0921859039836568,2.275742805602657e-07,0.7317073170731709,7.0292,748.0,0.08938820210119905,4.02917540827735e-07,1.1795687522092613,7.2385,559.0,,,,,,inProgress
hin_original,0.08655555710895366,1.5533875766708596e-07,0.4057971014492754,7.47555,3387.0,0.08140323751222744,1.869371368152225e-07,0.5507246376811595,6.9214,4354.0,0.0799701957596694,2.4127435856472345e-07,0.6376811594202898,6.5283,2655.0,,,,,,original
