form,sigma,sigma_err,center,center_err,amplitude,amplitude_er,redchi,chisqr
math,16.695249426138307,8.161209781379986,39.57941298147233,19.781026988815434,0.04275322223114007,0.02211407053542245,0.00010771491538406956,0.006139750176891965
bob,0.6204881488925849,0.6458861365730367,2.9091408608992606,0.7280219212478761,0.017409621294066868,0.000885552103145329,4.259817437432936e-05,0.0024280959393367736
georges,17.792947556843696,7.441000890447646,19.164866221350575,8.696045844319698,0.02639526819662693,0.005317059223622961,3.28593632930074e-05,0.0018729837077014217
diam,57.020102538606565,88.65529790320512,578.0754031406785,1194511.5282063729,232.58898388765036,4848218.736766285,5.4027736858217255e-05,0.0030795810009183835
act,0.2130269830572895,0.2517937289950681,0.7559261997964968,0.31501449310503254,0.01683936276855732,0.0003322206954295363,6.394873218140309e-06,0.0003645077734339976
sombre,48.51446536175878,32.56287571290517,99.51749466253055,200.71744983152888,0.08261105796097619,0.21000219041415605,1.238414876126896e-05,0.0007058964793923308
concerné,17.888378915318143,3.647564782764723,263.8598315671288,692802.2553267578,4927.09941359767,189854522.63305157,2.3056301279503103e-05,0.0013142091729316768
wikipedia,26.01728250538348,11.66168363960478,351.82764408956393,1694235.2979432668,2946.562437723225,191098816.4989866,5.0187013221542485e-05,0.0028606597536279216
ololo,13.83020310511284,3.7361070606795836,200.1633695194771,205485.2975727242,1754.731706628843,25966014.011113934,5.975659350560377e-05,0.003406125829819415
balader,16.02675832626194,3.0897955343314583,233.52646558429555,336150.04153038346,3066.0284253167342,64095486.66473108,2.518680661180094e-05,0.0014356479768726537
m6,22.758320335500517,6.115889886511275,125.97165729537954,257.52594115771694,0.8687044920384089,8.734384447447905,2.6976673252140585e-05,0.0015376703753720133
daft,1.1293839550021896,0.6158284539264334,2.7580319117955643,0.6781308035167795,0.01728969588273355,0.0006096934891673667,1.953351964963725e-05,0.0011134106200293232
punk,0.6410406082871312,0.3479258437276527,3.833144776765085,0.39435559158112704,0.017556921093607476,0.00047962373848112113,1.2266763040169453e-05,0.0006992054932896588
réécoute,39.54190517810592,18.754195859546062,481.0625546850382,1362152.610787225,1316.6712183496372,45201508.14551544,1.790486088543388e-05,0.0010205770704697311
ladies,1.813726065000921,0.8616554089171032,2.203936269026781,0.8368207245150461,0.01726943440145428,0.0005688245398353492,1.6236920964801805e-05,0.0009255044949937028
délicieux,13.555378210915439,4.447507101976532,22.395487514526817,5.5960896920952425,0.027456819719378644,0.004080708285617379,4.0689933210840136e-05,0.0023193261930178877
restau,14.035490816818143,1.5736194342750214,86.5370491805885,29.747355933956506,0.48680149776139026,0.82552005643924,9.843184448645143e-06,0.0005610615135727731
indien,57.99466820421104,89.66626369014196,528.6140131126833,440149.2477360874,85.75387433105774,646959.7536464487,5.1712262691926374e-05,0.002947598973439803
fringues,14.989979561345386,5.748240153913053,215.1747647395456,389734.6038098145,1934.6176975540186,50045727.73576283,9.879782916650715e-05,0.005631476262490907
impatiemment,27.464545648069993,13.038709636356486,326.5509219383527,414246.04755501973,648.903672797603,9745325.915888198,5.2231523921222035e-05,0.002977196863509656
tnt,29.762195253757472,19.20362205116706,31.81580434460498,38.96863537648407,0.033943067014387054,0.02063456665756345,2.8845900273987235e-05,0.0016442163156172723
claquer,10.868012110648692,0.4489412670382971,41.10303977523148,0.9676525509620344,0.048160327608143684,0.001709740246299756,1.5140212880305111e-06,8.629921341773914e-05
passionné,42.41862951512465,48.04358837008239,485.16748255401916,1822996.959878978,687.2543229043146,29394965.305751808,8.134028716392673e-05,0.004636396368343823
façons,23.754010309951514,8.264312737660072,311.7433539379648,666028.9392720235,1773.1945200843777,49535994.41605874,4.0624849264163744e-05,0.0023156164080573335
cuisiner,20.63235034807302,6.95559536483342,281.0485757655501,649221.3778893361,2205.093400727975,69111820.3196147,4.963599468168895e-05,0.0028292516968562702
imac,28.069271817674615,10.956729342882953,362.26700835733266,1002414.0904360922,1858.863300438604,66113801.25410923,3.4562741135613464e-05,0.0019700762447299675
amuse,3.7408787556271887,0.6589002028838515,46.56914731385165,0.925009027946015,0.06030854542320568,0.0044391590552313,3.8950521211459576e-05,0.002220179709053196
jouet,20.16116632629898,7.271868099312787,38.525121221218086,17.5607023435649,0.03927079846398433,0.015359796007007081,3.427713805683124e-05,0.0019537968692393804
plombs,22.322174118269672,4.244177131548227,316.25223249526033,856372.1124520878,4500.052459826941,172060318.12100118,1.565478903144777e-05,0.0008923229747925229
vitres,6.117009916513914,4.776656344602187,7.06492587540486,4.312744406751923,0.018951375572652498,0.002114156279546451,0.0001255611068146077,0.007156983088432638
hd,32.29307788184689,15.670330142160774,399.493978147224,1061371.834164461,1268.3617688412955,41528886.88678677,3.285760864191936e-05,0.0018728836925894037
restant,33.877006674012556,23.234517760800557,425.97813878923915,2072123.8520830092,1678.5511697224872,102206661.87064666,6.141190064196469e-05,0.003500478336591988
confessions,13.689727878254345,3.8726410496272576,24.151371057280134,5.212340518823117,0.02855554863008284,0.003963926321615159,3.219057640001759e-05,0.0018348628548010024
intimes,16.666119272847716,4.377688953066909,49.00055234061259,14.491810128020193,0.05751954954245302,0.024119379906960493,3.6333068034824464e-05,0.0020709848779849943
écoutant,15.715312707975734,6.820718600887247,16.717701388648834,6.933161978693602,0.024682006686686745,0.004270562411950472,3.9680025830747866e-05,0.0022617614723526285
jordan,1.8208694376645695,1.1660980201909124,38.738554040852414,1.349240583437538,0.03536661526540835,0.003519544231284638,0.00017459320579174062,0.009951812730129215
m2,0.049839709616468886,258685.9813701485,18.074439981309094,393376.70516539237,0.023018078344352443,0.00662543196095684,0.0017559663112984144,0.10009007974400962
pot,24.654485832374572,7.446747741702582,79.86598099404401,56.56048265445871,0.12071087944105242,0.17878056315240035,2.4570975894147346e-05,0.0014005456259663987
cd,25.95335119095646,6.942676117993383,303.6772615922541,163451.36336386792,500.0770788677824,3138209.5884522605,1.970367227989357e-05,0.0011231093199539335
prez,39.0168226029222,28.08256807700698,484.4492568188415,2588115.126014515,1669.383699923641,110270661.43344183,4.270245729969951e-05,0.002434040066082872
crèmes,58.37514402891278,101.05592748688026,607.1547050736334,1800500.1524570098,305.44753341588444,9375278.273999168,6.083596112834199e-05,0.0034676497843154934
bave,7.619246035105855,1.0200743150859617,36.07442078722591,1.5183664123290745,0.039801524759412725,0.0025153308527257074,1.7285237287434786e-05,0.0009852585253837828
escargot,0.3610972790490803,0.1020717962953558,57.673314037074405,0.14542268169644545,0.15267745889813386,0.013710566933850872,0.00012002631580216283,0.006841500000723281
paperasse,28.203177095755816,8.2890984259623,373.9020320397756,1083743.419908213,2618.166856099368,100261771.91721168,1.9528459628669658e-05,0.0011131221988341705
colloc,78.94130255439671,183.46985422498648,599.5995768792361,237846.7631079543,21.834467217364093,65129.54931473008,3.6416631613703e-05,0.002075748001981071
imprime,2.1283684973931436,1.8423190571990151,3.7832090225710258,1.9002897229613045,0.01758169638491236,0.0012878089161862693,7.893964839780155e-05,0.0044995599586746884
émue,8.942683499510903,1.2887166896070816,15.0555301510963,1.2896979450001285,0.022794652631112716,0.0008171810622197847,8.228986372144874e-06,0.00046905222321225783
actualités,0.794046276608037,0.47157439190135986,12.141581353931988,0.5369259126554489,0.02044079303656698,0.0007442548191427566,2.4620309743639796e-05,0.0014033576553874683
little,8.358490487773942,2.8621482593898886,8.372487984572071,2.402880506851008,0.020109017766199368,0.0012144631785453073,2.70023534525213e-05,0.001539134146793714
sunshine,9.945007973322634,,-687.7959859838096,,0.016524310118129285,,0.0002537916044458491,0.014466121453413399
installe,42.11442686025549,26.46181193332703,130.03801216733405,327.71191124956033,0.18074292034706974,1.0362744023255372,2.2104311704365038e-05,0.001259945767148807
vista,138.75183852467637,1620.0918444995252,1044.5601943765448,2393239.133786083,24.147730646649205,412117.58559398586,0.00010061308264835273,0.005734945710956106
